,eco,opening,white,black,white_elo,black_elo,result,time_control,termination,date,moves,num_moves
2144,B01,,Kurairu,SuoknuutiMax,323,522,0-1,180,SuoknuutiMax won by resignation,2025.09.28,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Nf6', 'Nc3', 'Bg4+', 'f3', 'Bc8', 'Bg5', 'Nc6', 'Bxf6', 'gxf6', 'Bd3', 'e5', 'Kd2', 'Nd4', 'Rd1', 'Bf5', 'Kc1', 'Be6', 'Nge2', 'O-O-O', 'Nxd4', 'Rxd4', 'Nb5', 'Rd8', 'b3', 'a6', 'Na3', 'Bxa3+', 'Kb1']",35
2145,B01,,ginj_ggg,SuoknuutiMax,527,530,0-1,180,SuoknuutiMax won by checkmate,2025.09.28,"['e4', 'd5', 'Ne2', 'dxe4', 'Ng3', 'Nf6', 'f3', 'exf3', 'Qxf3', 'Qd5', 'Bd3', 'Qxf3', 'gxf3', 'Bh3', 'Bf1', 'Bxf1', 'Nxf1', 'Nc6', 'Ne3', 'O-O-O', 'O-O', 'Rg8', 'Nc3', 'h6', 'd4', 'a6', 'd5', 'Nd4', 'Bd2', 'Nxc2', 'Rad1', 'Nxe3', 'Bxe3', 'e6', 'd6', 'Rxd6', 'Bc5', 'Rxd1', 'Rxd1', 'Bxc5+', 'Kg2', 'Rd8', 'Rc1', 'Rd2+', 'Kg3', 'Rxb2', 'Ne4', 'Nxe4+', 'fxe4', 'Bd6+', 'Kf3', 'Rxh2', 'e5', 'Bxe5', 'Ke4', 'Bd6', 'Rc4', 'Rxa2', 'Rd4', 'Rb2', 'Ke3', 'Rb3+', 'Ke4', 'Rb4', 'Rxb4', 'Bxb4', 'Ke5', 'h5', 'Kf4', 'h4', 'Kg4', 'a5', 'Kh3', 'a4', 'Kxh4', 'a3', 'Kg4', 'a2', 'Kf4', 'a1=Q', 'Kg5', 'c5', 'Kf4', 'c4', 'Ke4', 'Qd1', 'Ke3', 'c3', 'Ke4', 'c2', 'Ke3', 'c1=Q+', 'Ke4', 'Qcd2', 'Ke5', 'Q2e2+', 'Kf4', 'Qdf1+', 'Kg3', 'e5', 'Kh4', 'e4', 'Kg3', 'e3', 'Kh4', 'Qef2+', 'Kg4', 'e2', 'Kh5', 'e1=Q', 'Kg5', 'Q1g1+', 'Kh5', 'Qe5#']",114
2146,C20,,SuoknuutiMax,lume55,522,545,0-1,180,lume55 won by resignation,2025.09.28,"['e4', 'e5', 'Qh5', 'Qe7', 'Nf3', 'Nf6', 'Qxe5', 'Nc6', 'Qxc7', 'Qxe4+', 'Be2', 'Nd5', 'Qe5+', 'Nxe5']",14
2147,A00,,markomile7,SuoknuutiMax,531,514,1-0,180,markomile7 won by resignation,2025.09.28,"['g4', 'd5', 'g5', 'Nc6', 'Bg2', 'f6', 'gxf6', 'Nxf6', 'b3', 'e5', 'Bb2', 'Be6', 'Nf3', 'Bd6', 'Ng5', 'Ne4', 'Nxe6', 'Ke7', 'Nxd8']",19
2148,C40,,SuoknuutiMax,gaurs29,524,574,1-0,180,SuoknuutiMax won - game abandoned,2025.09.28,"['e4', 'e5', 'Nf3', 'Qf6', 'Nc3', 'Bc5', 'Bc4', 'c6', 'd3', 'd6', 'Qe2', 'Bg4', 'Be3', 'Bb4', 'Bd2', 'Ne7', 'h3', 'Bxf3', 'Qxf3', 'Qxf3', 'gxf3', 'O-O', 'O-O-O', 'Ng6', 'a3', 'Bxc3', 'Bxc3', 'Nh4', 'Rdg1', 'Nxf3', 'Rg3', 'Nd4', 'Bxd4', 'exd4', 'Rhg1', 'g6', 'h4', 'Nd7', 'h5', 'Nf6', 'hxg6', 'hxg6', 'f4', 'Kg7', 'f5', 'Nh5', 'Rg5', 'Kf6', 'fxg6', 'fxg6', 'Rxg6+', 'Ke7', 'Rh6', 'Nf6', 'Rg7+', 'Ke8', 'Rgg6', 'Ng8', 'Bxg8', 'Rxg8', 'Rxg8+', 'Ke7', 'Rxa8']",63
2149,B01,,trnvdi,SuoknuutiMax,493,515,1-0,180,trnvdi won by checkmate,2025.09.28,"['e4', 'd5', 'e5', 'Nc6', 'Nf3', 'Bg4', 'Be2', 'Bxf3', 'Bxf3', 'Nxe5', 'O-O', 'Nf6', 'd4', 'Nxf3+', 'Qxf3', 'e6', 'Bf4', 'Bd6', 'Be3', 'O-O', 'b3', 'h6', 'c4', 'dxc4', 'bxc4', 'g5', 'c5', 'Be7', 'Nc3', 'Kh7', 'Ne4', 'Nxe4', 'Qxe4+', 'Kh8', 'Rad1', 'Rg8', 'd5', 'exd5', 'Rxd5', 'Qf8', 'Rfd1', 'c6', 'Re5', 'Re8', 'Qf3', 'f6', 'Rf5', 'h5', 'h4', 'gxh4', 'Qxh5+', 'Kg7', 'Bh6+', 'Kh7', 'Bxf8#']",55
2150,C70,,SuoknuutiMax,Abhishek110120,521,411,1-0,180,SuoknuutiMax won by checkmate,2025.09.28,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6', 'Ba4', 'Bc5', 'Bxc6', 'dxc6', 'Nxe5', 'Qf6', 'f4', 'Qxf4', 'Nd3', 'Qxe4+', 'Qe2', 'Qxe2+', 'Kxe2', 'Nf6', 'Nxc5', 'Kf8', 'Re1', 'Bg4+', 'Kf1', 'Re8', 'Rxe8+', 'Kxe8', 'Nxb7', 'Nd5', 'Nc3', 'Nxc3', 'bxc3', 'Be6', 'd4', 'Bc4+', 'Kg1', 'Kd7', 'Nc5+', 'Kd8', 'Bf4', 'Re8', 'Rb1', 'Re2', 'Rb2', 'Bd3', 'Nxd3', 'Re4', 'Bg3', 'f5', 'Rb7', 'Kc8', 'Rxc7+', 'Kd8', 'Rxg7', 'Re3', 'Rxh7', 'a5', 'Ra7', 'Re2', 'Rxa5', 'Rxc2', 'Rxf5', 'Rxc3', 'Ne5', 'Rd3', 'Nxc6+', 'Kd7', 'Ne5+', 'Kd6', 'Nxd3+', 'Kd7', 'Kf1', 'Kc8', 'Bc7', 'Kxc7', 'Rf6', 'Kb7', 'Kf2', 'Kc7', 'Ke3', 'Kd7', 'Ke4', 'Ke7', 'Ra6', 'Kd7', 'Ke5', 'Kc8', 'Ra7', 'Kb8', 'Rh7', 'Kc8', 'Kd6', 'Kd8', 'Rh8#']",95
2151,B01,,Abhishek110120,SuoknuutiMax,421,511,1-0,180,Abhishek110120 won by resignation,2025.09.28,"['e4', 'd5', 'Nc3', 'dxe4', 'Nxe4', 'Nc6', 'd3', 'Bf5', 'Ng3', 'g6', 'Nf3', 'Bg7', 'Be2', 'Nf6', 'Ng5', 'h6', 'Nf3', 'Bg4', 'h3', 'Bh5', 'd4', 'Bxf3', 'Bxf3', 'Qxd4', 'Qxd4', 'Nxd4', 'O-O', 'Nxc2', 'Rb1', 'Nd4', 'Bd1', 'O-O-O', 'Bg4+', 'Nf5', 'Bxf5+', 'gxf5', 'Nxf5', 'Rhg8', 'Nxe7+']",39
2152,B01,,SuoknuutiMax,CraftyGm,519,505,1-0,180,SuoknuutiMax won by resignation,2025.09.28,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qa5', 'Nf3', 'c6', 'd4', 'Nf6', 'Bd2', 'Qc7', 'Bc4', 'Bf5', 'O-O', 'e6', 'h3', 'Nbd7', 'Re1', 'a5', 'Ne4', 'Be7', 'Nxf6+', 'Nxf6', 'Ne5', 'b5', 'Bb3', 'a4', 'g4', 'Bg6', 'Nxg6', 'hxg6', 'Bxe6', 'fxe6', 'Rxe6', 'O-O-O', 'Qe1', 'Rxh3', 'Rxe7']",39
2153,B00,,tarkus777,SuoknuutiMax,529,511,1-0,180,tarkus777 won by resignation,2025.09.28,"['e4', 'd5', 'e5', 'Nc6', 'd4', 'f6', 'Nf3', 'fxe5', 'dxe5', 'Bg4', 'h3', 'Bh5', 'Be2', 'Bxf3', 'Bxf3', 'Nxe5', 'Qe2', 'Nxf3+', 'Qxf3', 'Nf6', 'Bg5', 'Qd6', 'Bf4', 'O-O-O', 'Bxd6']",25
